ID,Oceans,Microplastics Measurement (density),Unit,Concentration Class,Latitude,Longitude,Date,Water Sample Depth (m)
0,Arctic Ocean,0.003,pieces/m3,Low,77.3834,13.8334,2015-05-28,0.45
1,Arctic Ocean,0.009,pieces/m3,Medium,69.0302,-16.62,2015-06-12,0.45
2,Arctic Ocean,0.005,pieces/m3,Medium,65.683,-18.0861,2015-06-19,0.45
3,Arctic Ocean,0.007,pieces/m3,Medium,65.7056,-21.6652,2015-06-19,0.45
4,Arctic Ocean,0.008,pieces/m3,Medium,66.4346,-163.2724,2015-06-26,0.45
5,Arctic Ocean,0.004,pieces/m3,Low,78.9276,11.9374,2015-08-04,0.45
6,Arctic Ocean,0.001,pieces/m3,Low,70.6681,25.3897,2016-05-07,0.45
7,Arctic Ocean,0.003,pieces/m3,Low,78.3,13.93,2016-06-12,0.45
8,Arctic Ocean,0.031,pieces/m3,Medium,81.09,15.5,2016-06-16,0.45
9,Arctic Ocean,0.011,pieces/m3,Medium,79.96,18.62,2016-06-17,0.45
10,Arctic Ocean,0.0,pieces/m3,Very Low,79.0,12.23,2016-06-22,0.45
11,Arctic Ocean,2.5,pieces/m3,High,78.8495,9.399,2016-08-08,8.5
12,Arctic Ocean,63.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,400.0
13,Arctic Ocean,2.0,pieces/m3,High,80.5442,8.0356,2016-08-09,8.5
14,Arctic Ocean,375.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,51.0
15,Arctic Ocean,0.0,pieces/m3,Very Low,80.5628,8.0351,2016-08-09,847.0
16,Arctic Ocean,0.0,pieces/m3,Very Low,80.5621,8.0008,2016-08-09,8.0
17,Arctic Ocean,95.0,pieces/m3,Very High,80.5621,8.0008,2016-08-09,400.0
18,Arctic Ocean,21.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,100.0
19,Arctic Ocean,167.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,20.0
20,Arctic Ocean,56.0,pieces/m3,Very High,80.5628,8.0351,2016-08-09,8.0
21,Arctic Ocean,95.0,pieces/m3,Very High,80.5621,8.0008,2016-08-09,850.0
22,Arctic Ocean,95.0,pieces/m3,Very High,80.1349,6.1406,2016-08-10,721.0
23,Arctic Ocean,0.0,pieces/m3,Very Low,80.1349,6.1406,2016-08-10,75.0
24,Arctic Ocean,0.5,pieces/m3,Medium,80.4314,6.5595,2016-08-10,8.5
25,Arctic Ocean,148.0,pieces/m3,Very High,80.1349,6.1406,2016-08-10,8.0
26,Arctic Ocean,1.5,pieces/m3,High,80.5066,8.034,2016-08-10,8.5
27,Arctic Ocean,1.0,pieces/m3,High,80.1287,6.0835,2016-08-10,8.5
28,Arctic Ocean,2.0,pieces/m3,High,81.5383,9.7702,2016-08-11,8.5
29,Arctic Ocean,0.5,pieces/m3,Medium,82.2486,10.9693,2016-08-11,8.5
30,Arctic Ocean,7.5,pieces/m3,High,80.9713,8.025,2016-08-11,8.5
31,Arctic Ocean,0.5,pieces/m3,Medium,82.4838,18.381,2016-09-14,8.5
32,Arctic Ocean,0.5,pieces/m3,Medium,82.7728,18.8161,2016-09-14,8.5
33,Arctic Ocean,0.0,pieces/m3,Very Low,81.1909,12.8995,2016-09-15,8.5
34,Arctic Ocean,1.0,pieces/m3,High,81.5187,15.6088,2016-09-15,8.5
35,Arctic Ocean,0.0,pieces/m3,Very Low,78.3693,15.7305,2016-10-16,0.45
36,Arctic Ocean,0.054927,pieces/m3,Medium,77.9713,12.4,2017-08-27,0.0
37,Arctic Ocean,0.014032,pieces/m3,Medium,77.5522,7.809,2017-08-28,0.0
38,Arctic Ocean,0.065916,pieces/m3,Medium,73.6667,-12.9167,2017-08-31,0.0
